add-none,2,100,400,177663,444,0
add-none,2,1000,4000,171106,42,0
add-none,2,10000,40000,712989,17,3
add-none,2,100000,400000,4684925,11,2
add-none,4,100,800,266204,332,0
add-none,4,1000,8000,238956,29,2
add-none,4,10000,80000,1221455,15,10
add-none,4,100000,800000,11585567,14,238
add-none,8,100,1600,323897,202,0
add-none,8,1000,16000,360548,22,0
add-none,8,10000,160000,2300179,14,27
add-none,8,100000,1600000,21985397,13,193
add-none,12,100,2400,451618,188,0
add-none,12,1000,24000,432978,18,0
add-none,12,10000,240000,3455206,14,20
add-none,12,100000,2400000,33755817,14,212
add-yield-none,2,10,40,193296,4832,1
add-yield-none,4,10,80,204392,2554,0
add-yield-none,8,10,160,371884,2324,2
add-yield-none,12,10,240,457231,1905,1
add-yield-none,2,20,80,214105,2676,0
add-yield-none,4,20,160,237591,1484,1
add-yield-none,8,20,320,373555,1167,2
add-yield-none,12,20,480,475872,991,5
add-yield-none,2,40,160,262462,1640,1
add-yield-none,4,40,320,249578,779,1
add-yield-none,8,40,640,374525,585,3
add-yield-none,12,40,960,486514,506,3
add-yield-none,2,80,320,393280,1229,0
add-yield-none,4,80,640,357150,558,1
add-yield-none,8,80,1280,488633,381,1
add-yield-none,12,80,1920,568477,296,1
add-yield-none,2,100,400,369712,924,0
add-yield-none,4,100,800,437996,547,0
add-yield-none,8,100,1600,526087,328,2
add-yield-none,12,100,2400,604532,251,1
add-yield-none,2,1000,4000,2023956,505,0
add-yield-none,4,1000,8000,2072415,259,1
add-yield-none,8,1000,16000,2280117,142,1
add-yield-none,12,1000,24000,2927981,121,2
add-yield-none,2,10000,40000,16953930,423,1
add-yield-none,4,10000,80000,18551120,231,2
add-yield-none,8,10000,160000,21776126,136,1
add-yield-none,12,10000,240000,24987538,104,4
add-yield-none,2,100000,400000,180274068,450,-9
add-yield-none,4,100000,800000,195989835,244,4
add-yield-none,8,100000,1600000,224109527,140,17
add-yield-none,12,100000,2400000,253802082,105,79
add-none,1,100,200,152807,764,0
add-none,1,1000,2000,150819,75,0
add-none,1,10000,20000,269627,13,0
add-none,1,100000,200000,1516261,7,0
add-none,1,1000000,2000000,13782571,6,0
add-none,2,100,400,180308,450,0
add-none,2,1000,4000,193274,48,0
add-none,2,10000,40000,669195,16,2
add-none,2,100000,400000,4417575,11,36
add-none,2,1000000,4000000,53769743,13,121
add-none,4,100,800,218131,272,0
add-none,4,1000,8000,199747,24,0
add-none,4,10000,80000,1190736,14,23
add-none,4,100000,800000,11478089,14,165
add-none,4,1000000,8000000,105987273,13,1135
add-none,8,100,1600,390832,244,0
add-none,8,1000,16000,352938,22,1
add-none,8,10000,160000,2361986,14,21
add-none,8,100000,1600000,22240453,13,154
add-none,8,1000000,16000000,215443821,13,1962
add-none,12,100,2400,457190,190,0
add-none,12,1000,24000,564083,23,5
add-none,12,10000,240000,3432486,14,18
add-none,12,100000,2400000,32478687,13,272
add-none,12,1000000,24000000,319236685,13,2438
add-yield-m,2,10000,40000,54800663,1370,0
add-yield-m,4,10000,80000,138005778,1725,0
add-yield-m,8,10000,160000,285053373,1781,0
add-yield-m,12,10000,240000,434792144,1811,0
add-yield-c,2,10000,40000,36479479,911,0
add-yield-c,4,10000,80000,72894381,911,0
add-yield-c,8,10000,160000,125568418,784,0
add-yield-c,12,10000,240000,183275288,763,0
add-yield-s,2,1000,4000,4089899,1022,0
add-yield-s,4,1000,8000,11185044,1398,0
add-yield-s,8,1000,16000,27755283,1734,0
add-yield-s,12,1000,24000,45902707,1912,0
add-m,1,10000,20000,851191,42,0
add-m,2,10000,40000,3415555,85,0
add-m,4,10000,80000,14561313,182,0
add-m,8,10000,160000,34760428,217,0
add-m,12,10000,240000,51104118,212,0
add-c,1,10000,20000,511960,25,0
add-c,2,10000,40000,1797681,44,0
add-c,4,10000,80000,5730139,71,0
add-c,8,10000,160000,14395741,89,0
add-c,12,10000,240000,18371326,76,0
add-s,1,10000,20000,458016,22,0
add-s,2,10000,40000,6235205,155,0
add-s,4,10000,80000,21101046,263,0
add-s,8,10000,160000,54867155,342,0
add-s,12,10000,240000,125483813,522,0
